         9799937 function calls (9765880 primitive calls) in 31.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      998    0.003    0.000    0.043    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:2032(rotate_deg_around)
   172331    0.042    0.000    0.042    0.000 {method 'join' of 'bytes' objects}
     2623    0.009    0.000    0.041    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/numpy/core/numeric.py:2157(identity)
     1067    0.010    0.000    0.041    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/font_manager.py:661(__init__)
       35    0.001    0.000    0.040    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:2412(get_tick_space)
      255    0.002    0.000    0.038    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:2152(get_text_width_height_descent)
      165    0.002    0.000    0.037    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:718(union)
      239    0.002    0.000    0.036    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/artist.py:658(set_clip_path)
 1864/880    0.002    0.000    0.035    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:681(get_xaxis_transform)
      898    0.004    0.000    0.035    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:265(_get_agg_font)
     1405    0.002    0.000    0.034    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/font_manager.py:1011(get)
     1888    0.034    0.000    0.034    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
     1003    0.013    0.000    0.034    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backend_bases.py:476(_iter_collection)
   167407    0.034    0.000    0.034    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:301(pdfRepr)
     1256    0.003    0.000    0.034    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:1505(pathOperations)
     3010    0.013    0.000    0.033    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:749(__init__)
     2611    0.022    0.000    0.033    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/artist.py:87(__init__)
 1740/812    0.002    0.000    0.032    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:761(get_yaxis_transform)
     3123    0.004    0.000    0.032    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:1484(convert_units)
     2061    0.013    0.000    0.032    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/path.py:204(_update_values)
1297/1294    0.007    0.000    0.032    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:1059(get_points)
     20/4    0.000    0.000    0.031    0.008 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/offsetbox.py:267(draw)
